# samples,smse,msll,nlpd,rmse,mae
50.00000000,0.24260235,-0.39931909,5.19058463,31.70187196,25.17454774
51.00000000,0.24277798,-0.40285625,5.18559026,31.71334536,25.19467349
53.00000000,0.24290971,-0.40910912,5.17706340,31.72194782,25.19090294
54.00000000,0.24288842,-0.41209977,5.17320740,31.72055782,25.16054992
68.00000000,0.24557202,-0.46589292,5.12243176,31.89531191,25.28740141
86.00000000,0.24125617,-0.53721774,5.05059778,31.61379413,24.42273940
89.00000000,0.24043845,-0.55042507,5.03881074,31.56017282,24.21755689
90.00000000,0.24033049,-0.55484705,5.03513473,31.55308638,24.17703142
93.00000000,0.24031497,-0.56829224,5.02454000,31.55206764,24.10238300
95.00000000,0.24055596,-0.57744039,5.01782734,31.56788422,24.10684944
97.00000000,0.24085788,-0.58686846,5.01119519,31.58768788,24.12949011
99.00000000,0.24115370,-0.59651391,5.00466318,31.60708016,24.15487688
101.00000000,0.24140925,-0.60637188,4.99820771,31.62382267,24.17794633
103.00000000,0.24164166,-0.61644347,4.99180094,31.63904154,24.20022296
105.00000000,0.24188636,-0.62669378,4.98546293,31.65505682,24.22634068
109.00000000,0.24205269,-0.64812870,4.97249249,31.66593888,24.24246455
112.00000000,0.24204441,-0.66467278,4.96281001,31.66539730,24.24159084
123.00000000,0.24341368,-0.72562323,4.93010725,31.75483805,24.30851691
125.00000000,0.24353829,-0.73592607,4.92472361,31.76296469,24.32184695
145.00000000,0.24174371,-0.73417701,4.88501510,31.64572178,24.46240604
146.00000000,0.24173943,-0.73250415,4.88381577,31.64544151,24.45204867
151.00000000,0.24129837,-0.72773904,4.87769440,31.61655926,24.34698337
161.00000000,0.23362372,-0.73373454,4.85551250,31.10970378,23.92185214
164.00000000,0.23614876,-0.72915837,4.85894300,31.27737097,24.08668567
180.00000000,0.16963806,-0.87471408,4.71523427,26.50934896,18.71879275
186.00000000,0.16588273,-0.89762999,4.69524075,26.21428415,18.26435637
191.00000000,0.16488205,-0.91110245,4.68480513,26.13509589,18.17341528
202.00000000,0.16562352,-0.92232331,4.68152861,26.19379430,18.29842230
211.00000000,0.16934084,-0.89999086,4.70911471,26.48611533,18.44742914
214.00000000,0.16385806,-0.90957745,4.69562353,26.05381466,18.25205044
224.00000000,0.16129822,-0.89134737,4.70329646,25.84950312,18.05993583
229.00000000,0.15945917,-0.88861559,4.70404725,25.70171864,17.94243787
230.00000000,0.15933388,-0.88741434,4.70522436,25.69161937,17.93047564
241.00000000,0.14456021,-0.94112080,4.64842084,24.47156802,17.11002366
254.00000000,0.14277774,-0.95211678,4.64240543,24.32022918,16.88036034
258.00000000,0.14268196,-0.95377724,4.64259937,24.31207034,16.84961094
262.00000000,0.14165109,-0.95788620,4.64041675,24.22408476,16.79586899
267.00000000,0.14011503,-0.96334970,4.63719543,24.09238356,16.72952544
274.00000000,0.13919311,-0.95972035,4.63411398,24.01299225,16.60921522
280.00000000,0.13936566,-0.95652255,4.63304725,24.02787132,16.53187916
283.00000000,0.13595142,-0.97208318,4.61552006,23.73172377,16.41798355
296.00000000,0.13506861,-0.98630341,4.60329937,23.65454666,16.41033110
301.00000000,0.13562042,-0.98778006,4.60268563,23.70281646,16.42785497
305.00000000,0.13641074,-0.98675850,4.60460264,23.77177910,16.52266406
309.00000000,0.13683192,-0.98731154,4.60509641,23.80844956,16.52902811
314.00000000,0.13716039,-0.98796119,4.60591150,23.83700944,16.54163856
319.00000000,0.13714728,-0.98991838,4.60574157,23.83587011,16.52546391
324.00000000,0.13728297,-0.99079706,4.60677607,23.84765882,16.52946747
331.00000000,0.13727664,-0.99252398,4.60789604,23.84710864,16.51311909
334.00000000,0.13734817,-0.99278054,4.60895064,23.85332053,16.52161749
341.00000000,0.13711832,-0.99470854,4.61023271,23.83335298,16.42413365
345.00000000,0.13276268,-1.01219439,4.59127028,23.45175870,16.35886493
349.00000000,0.13210273,-1.01595928,4.58886012,23.39339818,16.23190641
354.00000000,0.12785074,-1.03190559,4.56708155,23.01383701,16.00160312
359.00000000,0.12578688,-1.03875571,4.55444895,22.82732812,15.86240664
363.00000000,0.12463923,-1.04282071,4.54711663,22.72295391,15.84163943
372.00000000,0.12092967,-1.05521801,4.53260935,22.38225527,15.63229670
382.00000000,0.11742185,-1.07461119,4.51441998,22.05524418,15.49893123
384.00000000,0.11741447,-1.07560256,4.51377057,22.05455083,15.48178498
389.00000000,0.11761197,-1.07656326,4.51376510,22.07309147,15.47831779
395.00000000,0.11805561,-1.07623262,4.51544794,22.11468344,15.51113886
400.00000000,0.11832596,-1.07638405,4.51649333,22.13999068,15.51790120
405.00000000,0.11868938,-1.07608713,4.51803935,22.17396400,15.54246879
413.00000000,0.11911165,-1.07641162,4.51994205,22.21337410,15.57509236
424.00000000,0.11806379,-1.08438543,4.51532672,22.11544901,15.48261219
431.00000000,0.11674866,-1.08845388,4.50983253,21.99193090,15.39634391
436.00000000,0.11507600,-1.09151124,4.50301949,21.83382303,15.24441238
442.00000000,0.11453599,-1.09022971,4.50136036,21.78253356,15.20144890
445.00000000,0.11451203,-1.09079426,4.50146600,21.78025578,15.18337748
451.00000000,0.11407326,-1.09433460,4.49921835,21.73848829,15.15296852
457.00000000,0.11346137,-1.09894735,4.49598214,21.68010655,15.09406751
462.00000000,0.11306382,-1.10179950,4.49440925,21.64209181,15.02395849
467.00000000,0.11351319,-1.10079793,4.49656010,21.68505742,15.05794442
471.00000000,0.11374883,-1.10077273,4.49753701,21.70755347,15.06989819
474.00000000,0.11377835,-1.10152060,4.49755828,21.71037010,15.06099063
479.00000000,0.11361605,-1.10408208,4.49640495,21.69488038,15.05451577
484.00000000,0.11338163,-1.10672135,4.49529702,21.67248774,15.05893238
495.00000000,0.11325285,-1.11050765,4.49488998,21.66017619,15.03833278
502.00000000,0.11317137,-1.11304300,4.49466949,21.65238270,15.02523080
508.00000000,0.11303917,-1.11559902,4.49421724,21.63973290,15.01022879
514.00000000,0.11285585,-1.11827968,4.49374985,21.62217868,14.99278576
520.00000000,0.11261621,-1.12124218,4.49309498,21.59920969,14.96731075
523.00000000,0.11247697,-1.12285448,4.49263288,21.58585296,14.95776991
528.00000000,0.11216213,-1.12598236,4.49142060,21.55562054,14.92974196
538.00000000,0.10925707,-1.14099999,4.47534285,21.27463835,14.71668092
543.00000000,0.10816789,-1.14272015,4.46821669,21.16833005,14.55536196
550.00000000,0.10718453,-1.14724062,4.45677372,21.07188897,14.36788517
553.00000000,0.10788061,-1.14490438,4.45724144,21.14020063,14.35982375
560.00000000,0.10897846,-1.13255434,4.46395254,21.24749506,14.36685592
564.00000000,0.10469655,-1.14371356,4.45140128,20.82589092,14.20733842
569.00000000,0.10349228,-1.14430572,4.45096965,20.70576998,14.19458823
574.00000000,0.10375229,-1.14591068,4.45043693,20.73176419,14.17159549
580.00000000,0.10415285,-1.14817243,4.44945119,20.77174483,14.17579951
593.00000000,0.09822625,-1.17946775,4.41782146,20.17210351,14.00803378
597.00000000,0.09742258,-1.17830625,4.41673524,20.08941154,13.98610849
604.00000000,0.09724837,-1.18045527,4.41373619,20.07144164,14.00071397
609.00000000,0.09665934,-1.18750244,4.40767136,20.01056342,13.87599947
615.00000000,0.09670563,-1.18804749,4.40828050,20.01535418,13.89917358
621.00000000,0.09687379,-1.18716442,4.41037892,20.03274968,13.93981272
627.00000000,0.09691912,-1.18902683,4.40976141,20.03743603,13.94071420
633.00000000,0.09686075,-1.19218285,4.40798973,20.03140082,13.92320200
638.00000000,0.09685837,-1.19368278,4.40769322,20.03115464,13.92200526
641.00000000,0.09686577,-1.19434788,4.40777262,20.03192010,13.92298706
647.00000000,0.09684074,-1.19588503,4.40769872,20.02933165,13.91657489
650.00000000,0.09677611,-1.19716373,4.40713915,20.02264694,13.90801594
658.00000000,0.09565288,-1.20852979,4.39764957,19.90611150,13.74996250
664.00000000,0.09391319,-1.21444885,4.38896819,19.72425927,13.66528832
668.00000000,0.09205920,-1.22040799,4.38040633,19.52859537,13.54058764
673.00000000,0.09084933,-1.22316327,4.37431984,19.39984514,13.47843173
677.00000000,0.09093590,-1.21947184,4.37551788,19.40908629,13.48127686
683.00000000,0.09057530,-1.21901050,4.37408840,19.37056602,13.46554259
685.00000000,0.09086409,-1.21634177,4.37621272,19.40142148,13.49266408
691.00000000,0.09078137,-1.21353244,4.37689993,19.39258847,13.47512231
694.00000000,0.09091268,-1.21186081,4.37774683,19.40660867,13.49088953
699.00000000,0.08985748,-1.21665519,4.37158264,19.29365536,13.40022094
701.00000000,0.09011017,-1.21461080,4.37307911,19.32076479,13.39134851
